Name,Year,Ranking
Andrew,1990,7
Andrew,1991,5
Andrew,1992,5
Andrew,1993,10
Andrew,1994,10
Andrew,1995,11
Andrew,1996,10
Andrew,1997,7
Andrew,1998,9
Andrew,1999,7
Andrew,2000,7
Kassandra,1990,312
Kassandra,1991,307
Kassandra,1992,205
Kassandra,1993,120
Kassandra,1994,172
Kassandra,1995,183
Kassandra,1996,203
Kassandra,1997,212
Kassandra,1998,248
Kassandra,1999,264
Kassandra,2000,284
Davis,1990,598
Davis,1991,590
Davis,1992,512
Davis,1993,461
Davis,1994,424
Davis,1995,409
Davis,1996,409
Davis,1997,375
Davis,1998,375
Davis,1999,371
Davis,2000,381
Julia,1990,83
Julia,1991,67
Julia,1992,70
Julia,1993,72
Julia,1994,72
Julia,1995,62
Julia,1996,48
Julia,1997,37
Julia,1998,32
Julia,1999,30
Julia,2000,29
