Name,Year,RankCategory
Andrew,1990,8
Andrew,1991,8
Andrew,1992,8
Andrew,1993,8
Andrew,1994,8
Andrew,1995,7
Andrew,1996,8
Andrew,1997,8
Andrew,1998,8
Andrew,1999,8
Andrew,2000,8
Kassandra,1990,4
Kassandra,1991,4
Kassandra,1992,4
Kassandra,1993,5
Kassandra,1994,5
Kassandra,1995,5
Kassandra,1996,4
Kassandra,1997,4
Kassandra,1998,4
Kassandra,1999,4
Kassandra,2000,4
Davis,1990,3
Davis,1991,3
Davis,1992,3
Davis,1993,4
Davis,1994,4
Davis,1995,4
Davis,1996,4
Davis,1997,4
Davis,1998,4
Davis,1999,4
Davis,2000,4
Julia,1990,6
Julia,1991,6
Julia,1992,6
Julia,1993,6
Julia,1994,6
Julia,1995,6
Julia,1996,7
Julia,1997,7
Julia,1998,7
Julia,1999,7
Julia,2000,7
