Country Name,Country Code,Series,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Canada,CAN,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,..,..,85.99599,85.15561,83.98714,84.69594,91.28789,92.75174,..,..
Canada,CAN,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,..,..,99.45167,99.43231,99.39113,99.58907,99.95587,..,..,..
Canada,CAN,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,..,..,86.07693,85.28263,83.63438,84.83048,91.20984,92.48121,..,..
Canada,CAN,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,..,..,85.91884,85.03486,84.3214,84.56894,91.36134,93.00712,..,..
Canada,CAN,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,..,..,99.3466,99.71338,99.59752,99.99767,99.70528,..,..,..
Canada,CAN,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,..,..,100,100,100,100,99.39677,..,..,..
Canada,CAN,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,..,..,98.73066,99.44228,99.21528,99.99546,100,..,..,..
Canada,CAN,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,..,..,99.69906,99.51128,99.71264,99.92752,99.03759,99.22283,..,..
Canada,CAN,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,..,..,99.38201,99.38521,99.75942,100,100,100,..,..
Canada,CAN,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,..,..,100,99.63053,99.66852,99.85923,98.1308,98.4874,..,..
Canada,CAN,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..
