"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083441908","7.9.12.1.1.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083441909","7.9.12.1.1.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083441926","7.9.12.1.2.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083441927","7.9.12.1.2.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083441944","7.9.12.1.3.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083441945","7.9.12.1.3.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083441962","7.9.12.2.1.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083441963","7.9.12.2.1.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083441998","7.9.12.2.3.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083441999","7.9.12.2.3.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083442016","7.9.12.3.1.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083442017","7.9.12.3.1.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083442034","7.9.12.3.2.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083442035","7.9.12.3.2.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate certificate","Computer and information sciences [a.32]","Female gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083442052","7.9.12.3.3.1.4.2","","x","","","0"
